Student_ID,Age,Gender,Study_Hours,Sleep_Hours,Screen_Time,Physical_Activity,Social_Interaction,Academic_Pressure,Mood,Stress_Level,Anxiety_Level,Meditation,Mental_Health_Score
1,18,Female,2,5,11,0,4,Low,Happy,2,6,No,30
2,21,Female,3,5,12,0,0,Medium,Anxious,10,4,No,-20
3,25,Female,3,6,12,3,1,Medium,Anxious,1,10,Yes,40
4,18,Male,1,7,3,3,1,Low,Happy,3,3,No,75
5,18,Female,6,8,10,3,2,Medium,Happy,1,5,No,90
6,22,Male,1,9,8,3,0,High,Happy,8,2,Yes,70
7,22,Female,1,7,2,1,4,Low,Anxious,2,9,Yes,45
8,25,Male,6,9,10,2,2,Low,Anxious,1,6,No,85
9,25,Female,7,9,2,1,5,High,Anxious,1,6,No,90
10,24,Female,3,3,8,2,5,High,Happy,2,10,Yes,15
11,18,Female,7,5,4,2,1,Medium,Neutral,6,3,Yes,30
12,23,Female,6,4,3,2,1,Low,Sad,1,10,Yes,10
13,20,Male,7,9,7,1,4,High,Anxious,8,7,Yes,45
14,22,Female,10,9,5,3,3,Medium,Neutral,7,3,No,85
15,23,Female,5,8,4,1,1,Low,Neutral,3,9,Yes,35
16,21,Female,1,3,7,3,5,High,Sad,6,2,Yes,45
17,23,Male,2,7,2,1,0,Low,Anxious,3,2,Yes,55
18,23,Female,1,7,7,3,5,High,Neutral,3,5,No,85
19,18,Male,7,3,9,3,5,Low,Anxious,5,4,Yes,40
20,25,Male,1,3,6,3,0,High,Sad,7,7,No,-10
21,25,Female,3,5,8,1,0,Medium,Sad,4,3,Yes,25
22,25,Female,10,8,5,1,5,High,Neutral,10,4,No,45
23,20,Male,2,7,10,0,3,Low,Sad,4,6,Yes,35
24,25,Female,1,4,3,1,5,Medium,Sad,8,2,No,25
25,23,Male,1,4,9,3,4,Low,Anxious,4,2,Yes,60
26,22,Male,8,7,4,2,1,Medium,Sad,3,8,Yes,40
27,20,Female,2,8,9,3,5,Low,Happy,10,5,Yes,60
28,24,Female,6,3,11,3,4,Medium,Anxious,10,5,Yes,5
29,25,Male,8,6,12,3,5,High,Anxious,6,10,No,35
30,23,Female,3,7,11,1,1,Medium,Sad,2,7,No,40
31,18,Female,2,5,4,3,2,High,Happy,3,1,No,70
32,22,Female,1,5,9,2,0,Low,Sad,7,9,No,-10
33,24,Female,5,3,12,1,0,High,Neutral,8,2,No,-10
34,23,Male,2,6,3,3,0,Medium,Neutral,8,10,Yes,0
35,24,Male,10,5,2,3,2,Medium,Neutral,7,2,No,45
36,24,Female,10,8,3,1,0,Low,Sad,3,6,Yes,45
37,19,Male,3,8,5,3,0,Medium,Happy,10,7,Yes,25
38,21,Female,9,5,12,2,5,Medium,Sad,4,3,No,60
39,25,Female,7,4,8,1,5,Low,Sad,2,5,Yes,40
40,19,Male,9,8,10,0,1,Low,Sad,3,3,Yes,55
41,21,Male,8,9,12,0,2,Medium,Neutral,10,10,Yes,0
42,18,Female,5,4,2,1,5,Low,Sad,10,2,No,15
43,19,Female,6,6,2,2,5,High,Anxious,3,5,No,65
44,23,Female,3,9,3,0,2,Medium,Anxious,9,8,No,15
45,19,Female,6,6,2,3,1,Medium,Happy,7,2,No,50
46,21,Female,7,3,9,0,3,Low,Sad,9,1,Yes,-5
47,24,Male,4,3,10,1,5,High,Happy,10,6,No,-15
48,18,Male,1,3,11,2,4,Low,Sad,1,6,Yes,35
49,22,Female,8,8,2,0,3,High,Neutral,9,5,Yes,25
50,18,Female,10,9,10,2,1,High,Anxious,5,2,Yes,80
51,21,Male,7,3,11,1,4,Medium,Neutral,8,6,No,-10
52,21,Female,2,9,8,0,2,Low,Sad,8,8,Yes,20
53,19,Female,7,7,2,0,5,Low,Anxious,2,6,No,55
54,24,Male,9,5,6,2,5,Medium,Sad,4,1,Yes,70
55,20,Male,1,4,11,0,2,Medium,Neutral,8,8,No,-30
56,20,Female,7,7,12,0,3,Low,Happy,4,10,No,15
57,23,Female,6,8,7,1,5,Low,Happy,10,5,Yes,40
58,18,Male,7,3,3,1,0,High,Happy,3,6,No,-5
59,23,Male,6,5,4,0,2,Low,Neutral,5,7,Yes,0
60,19,Female,4,8,4,0,3,Medium,Neutral,6,1,Yes,60
61,23,Female,10,3,8,0,0,Medium,Neutral,2,5,Yes,-5
62,22,Male,6,4,7,2,4,Medium,Neutral,3,6,Yes,35
63,23,Female,4,8,12,3,2,High,Anxious,4,2,Yes,90
64,20,Female,1,5,12,0,5,Low,Sad,3,4,Yes,40
65,21,Male,9,9,7,0,0,High,Happy,2,5,Yes,55
66,20,Female,8,5,8,3,2,Medium,Neutral,1,10,Yes,35
67,25,Female,4,9,11,3,3,Low,Sad,8,4,Yes,75
68,24,Female,9,6,10,1,0,High,Sad,4,1,Yes,45
69,25,Male,10,3,2,0,4,High,Sad,10,5,Yes,-25
70,23,Male,1,8,4,3,1,High,Happy,2,5,No,80
71,25,Female,6,4,7,3,4,High,Neutral,9,3,Yes,30
72,24,Female,4,3,2,3,2,Medium,Neutral,2,9,Yes,15
73,19,Female,9,5,10,2,5,High,Neutral,10,1,Yes,40
74,22,Male,6,7,9,3,3,Medium,Sad,5,10,Yes,40
75,21,Female,6,9,7,2,2,Low,Sad,3,2,Yes,95
76,24,Female,3,8,6,2,1,Low,Happy,10,4,No,35
77,22,Female,1,9,4,2,0,Low,Happy,9,6,No,35
78,20,Female,1,8,4,3,4,Medium,Sad,5,10,No,55
79,20,Male,9,6,3,3,3,Medium,Neutral,2,9,No,50
80,23,Male,2,4,5,0,5,High,Neutral,1,9,Yes,15
81,20,Male,8,3,3,3,0,Low,Neutral,1,1,Yes,50
82,25,Female,8,6,2,3,4,Medium,Anxious,7,8,No,35
83,25,Female,10,8,6,2,5,High,Happy,4,7,Yes,70
84,18,Female,1,8,11,2,4,Medium,Sad,4,8,No,60
85,19,Male,8,5,6,3,4,Medium,Sad,7,10,No,15
86,19,Female,10,3,2,2,0,Low,Anxious,7,5,No,-10
87,25,Female,5,6,10,1,5,Low,Happy,7,5,No,35
88,21,Male,6,3,4,2,1,High,Sad,3,7,No,5
89,20,Female,5,3,10,3,2,Low,Anxious,7,5,No,10
90,18,Female,9,7,7,3,5,High,Sad,2,6,No,85
91,21,Female,2,7,12,0,2,Medium,Sad,10,7,Yes,-5
92,22,Female,4,4,5,0,2,High,Sad,3,9,No,-10
93,21,Male,5,7,6,2,4,High,Anxious,6,1,Yes,75
94,24,Female,5,3,5,1,5,Low,Sad,8,8,No,-15
95,19,Male,4,8,4,0,4,Low,Sad,9,3,No,40
96,25,Male,7,6,10,3,1,High,Anxious,8,3,Yes,40
